#
# KWIC Concordance.
# Format: tab-separated, UTF-8. Corpus engine: Corpuscle, Clarino K Centre, Bergen
#
# Corpus:         (GRC)
# Query:          [slemma = "/*სმა"] | [slemma = "დალევა"] 
# Matches:        15619
# Excluded:       0
# Execution time: 0.044074 sec. (0.033375 CPU sec.)
#
# match	slemma	lemma	features	
#
დალიეს	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Pl DO:3
დალია	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დალია	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დავლიო	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:1Sg DO:3
დავლიე	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:1Sg DO:3
დავლევდი	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Cond Pv <S-DO> <S:Nom> <DO:Dat> S:1Sg DO:3
დაელიოს	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Opt Pv <S-IO> <S:Nom> <IO:Dat> S:3Sg IO:3
დაულევია	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Perf Pv <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3
დაილევა	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Fut Pv <S> <S:Nom> S:3Sg
დაგელეოდა	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Cond Pv <S-IO> <S:Nom> <IO:Dat> S:3Sg IO:2Sg
დავლევდი	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Cond Pv <S-DO> <S:Nom> <DO:Dat> S:1Sg DO:3
დავლიე	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:1Sg DO:3
დაელევა	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Fut Pv <S-IO> <S:Nom> <IO:Dat> S:3Sg IO:3
დალევს	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Fut Pv <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
დამელია	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Aor Pv <S-IO> <S:Nom> <IO:Dat> S:3Sg IO:1Sg ¦ V Act PluPerf Pv <S-DO> <S:Dat> <DO:Nom> S:1Sg DO:3
დამელია	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Aor Pv <S-IO> <S:Nom> <IO:Dat> S:3Sg IO:1Sg ¦ V Act PluPerf Pv <S-DO> <S:Dat> <DO:Nom> S:1Sg DO:3
დალია	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დალიე	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Impv Pv <S-DO> <S:Erg> <DO:Nom> S:2Sg DO:3
დაელია	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Aor Pv <S-IO> <S:Nom> <IO:Dat> S:3Sg IO:3
დავლიოთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:1Pl DO:3
დალევენ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Fut Pv <S-DO> <S:Nom> <DO:Dat> S:3Pl DO:3
დაელევაო	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Fut Pv <S-IO> <S:Nom> <IO:Dat> S:3Sg IO:3 Encl:IndSp3
დამელია	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Aor Pv <S-IO> <S:Nom> <IO:Dat> S:3Sg IO:1Sg
დაგელია	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Aor Pv <S-IO> <S:Nom> <IO:Dat> S:3Sg IO:2Sg
დამელიოს	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Opt Pv <S-IO> <S:Nom> <IO:Dat> S:3Sg IO:1Sg
დავლიოთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:1Pl DO:3
დალია	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დალიე	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Impv Pv <S-DO> <S:Erg> <DO:Nom> S:2Sg DO:3
დავლევთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Fut Pv <S-DO> <S:Nom> <DO:Dat> S:1Pl DO:3
დალიოს	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დალიე	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Impv Pv <S-DO> <S:Erg> <DO:Nom> S:2Sg DO:3
დალევს	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Fut Pv <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
დამლიოს	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:1Sg
დაჰლიოს	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3 NonStand
დაჰლიაო	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3 NonStand Encl:IndSp3
დავლიოთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:1Pl DO:3
დამელიოს	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Opt Pv <S-IO> <S:Nom> <IO:Dat> S:3Sg IO:1Sg
დავლიოთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:1Pl DO:3
